,Topic_1
Term_58322,people mental
Term_58323,people mental models
Term_58324,people prefer
Term_58325,people prefer different
Term_58326,people problem
Term_58327,people republic
Term_58328,people republic china
Term_58329,people review
Term_58330,people review articles
Term_58331,people search
Term_58332,people search professional
Term_58333,people search searching
Term_58334,people sharing
Term_58335,people sharing similar
Term_58336,people software
Term_58337,people software process
Term_58338,people tagging
Term_58339,people use
Term_58340,people use scientific
Term_58341,people web
Term_58342,people web based
Term_58343,people web use
Term_58344,perceived
Term_58345,perceived anonymity
Term_58346,perceived anonymity anonymity
Term_58347,perceived barriers
Term_58348,perceived ease
Term_58349,perceived ease use
Term_58350,perceived features
Term_58351,perceived features similarity
Term_58352,perceived gratifications
Term_58353,perceived gratifications application
Term_58354,perceived impact
Term_58355,perceived impact publications
Term_58356,perceived importance
Term_58357,perceived importance spatial
Term_58358,perceived influence
Term_58359,perceived influence use
Term_58360,perceived journal
Term_58361,perceived journal quality
Term_58362,perceived power
Term_58363,perceived power security
Term_58364,perceived state
Term_58365,perceived state science
Term_58366,perceived success
Term_58367,perceived success corporate
Term_58368,perceived technology
Term_58369,perceived technology clusters
Term_58370,perceived usefulness
Term_58371,percentage
Term_58372,percentage authoritative
Term_58373,percentage authoritative references
Term_58374,percentage cited
Term_58375,percentage cited papers
Term_58376,percentage equal
Term_58377,percentage equal authors
Term_58378,percentage patent
Term_58379,percentage patent representation
Term_58380,percentage rank
Term_58381,percentage rank position
Term_58382,percentage valued
Term_58383,percentage valued variables
Term_58384,percentile
Term_58385,percentile based
Term_58386,percentile based approach
Term_58387,percentile based bibliometric
Term_58388,percentile citation
Term_58389,percentile citation impact
Term_58390,percentile impact
Term_58391,percentile impact factors
Term_58392,percentile rank
Term_58393,percentile rank classes
Term_58394,percentile rank scores
Term_58395,percentile ranking
Term_58396,percentile ranking normalization
Term_58397,percentile ranks
Term_58398,percentile ranks fractional
Term_58399,percentile ranks integrated
Term_58400,percentiles
Term_58401,percentiles avoid
Term_58402,percentiles beam
Term_58403,percentiles beam plots
Term_58404,percentiles citation
Term_58405,percentiles citation data
Term_58406,percentiles citation frequencies
Term_58407,percentiles citations
Term_58408,percentiles influence
Term_58409,percentiles influence derived
Term_58410,percentiles percentile
Term_58411,percentiles percentile rank
Term_58412,percentiles years
Term_58413,percentiles years shortly
Term_58414,perception
Term_58415,perception based
Term_58416,perception based study
Term_58417,perception journal
Term_58418,perception journal prestige
Term_58419,perception risk
Term_58420,perception risk associated
Term_58421,perception search
Term_58422,perception search engine
Term_58423,perceptions
Term_58424,perceptions associated
Term_58425,perceptions associated biotechnology
Term_58426,perceptions author
Term_58427,perceptions author order
Term_58428,perceptions credibility
Term_58429,perceptions data
Term_58430,perceptions data quality
Term_58431,perceptions disaster
Term_58432,perceptions disaster model
Term_58433,perceptions disciplinarity
Term_58434,perceptions disciplinarity social
Term_58435,perceptions importance
Term_58436,perceptions importance user
Term_58437,perceptions journal
Term_58438,perceptions journal impact
Term_58439,perceptions justice
Term_58440,perceptions justice injustice
Term_58441,perceptions medical
Term_58442,perceptions medical records
Term_58443,perceptions nonsponsored
Term_58444,perceptions nonsponsored sponsored
Term_58445,perceptions performance
Term_58446,perceptions performance research
Term_58447,perceptions presidential
Term_58448,perceptions presidential candidates
Term_58449,perceptions relative
Term_58450,perceptions relative standing
Term_58451,perceptions research
Term_58452,perceptions research experiment
Term_58453,perceptions scientific
Term_58454,perceptions scientific contribution
Term_58455,perceptions social
Term_58456,perceptions social political
Term_58457,perceptual
Term_58458,perceptual automatic
Term_58459,perceptual automatic machine
Term_58460,perceptual visual
Term_58461,perceptual visual spaces
Term_58462,percolating
Term_58463,percolating clusters
Term_58464,percolation
Term_58465,percolation model
Term_58466,percolation model informetric
Term_58467,perestroika
Term_58468,perestroika period
Term_58469,perestroika period results
Term_58470,perfectionism
Term_58471,perfectionism index
Term_58472,perfectly
Term_58473,perfectly stratified
Term_58474,perfectly stratified samples
Term_58475,perform
Term_58476,perform better
Term_58477,perform better exploratory
Term_58478,perform comparison
Term_58479,perform comparison peers
Term_58480,performance
Term_58481,performance 85
Term_58482,performance 85 hungarian
Term_58483,performance academic
Term_58484,performance academic institutions
Term_58485,performance analysis
Term_58486,performance analysis peer
Term_58487,performance analysis science
Term_58488,performance annual
Term_58489,performance annual reports
Term_58490,performance application
Term_58491,performance application chinese
Term_58492,performance assessment
Term_58493,performance assessment construct
Term_58494,performance assessment individual
Term_58495,performance assessment large
Term_58496,performance assessments
Term_58497,performance assignees
Term_58498,performance assignees using
Term_58499,performance avoidance
Term_58500,performance avoidance citation
Term_58501,performance based
Term_58502,performance based research
Term_58503,performance bibliometric
Term_58504,performance bibliometric matching
Term_58505,performance biomedical
Term_58506,performance biomedical fields
Term_58507,performance brazilian
Term_58508,performance brazilian management
Term_58509,performance brazilian university
Term_58510,performance british
Term_58511,performance british university
Term_58512,performance bureaucracy
Term_58513,performance bureaucracy public
Term_58514,performance careers
Term_58515,performance careers study
Term_58516,performance case
Term_58517,performance case biotechnology
Term_58518,performance case chemistry
Term_58519,performance case korean
Term_58520,performance case mexico
Term_58521,performance chinese
Term_58522,performance chinese innovation
Term_58523,performance chinese universities
Term_58524,performance citation
Term_58525,performance citation impact
Term_58526,performance citations
Term_58527,performance classes
Term_58528,performance classes disciplinary
Term_58529,performance collaboration
Term_58530,performance collaboration novosibirsk
Term_58531,performance college
Term_58532,performance college engineering
Term_58533,performance comments
Term_58534,performance comments martin
Term_58535,performance comments opthof
Term_58536,performance comparison
Term_58537,performance comparison cum
Term_58538,performance composite
Term_58539,performance composite measures
Term_58540,performance computer
Term_58541,performance computer science
Term_58542,performance consolidation
Term_58543,performance consolidation research
Term_58544,performance corporate
Term_58545,performance corporate growth
Term_58546,performance corporation
Term_58547,performance corporation performance
Term_58548,performance cum
Term_58549,performance cum laude
Term_58550,performance data
Term_58551,performance data modeling
Term_58552,performance database
Term_58553,performance database description
Term_58554,performance decomposing
Term_58555,performance decomposing leadership
Term_58556,performance degree
Term_58557,performance degree internationalization
Term_58558,performance departments
Term_58559,performance departments economics
Term_58560,performance departments individuals
Term_58561,performance different
Term_58562,performance different fields
Term_58563,performance different subject
Term_58564,performance disciplines
Term_58565,performance disciplines universities
Term_58566,performance diversity
Term_58567,performance diversity case
Term_58568,performance document
Term_58569,performance document cocitation
Term_58570,performance economics
Term_58571,performance economics validity
Term_58572,performance efficiency
Term_58573,performance efficiency impact
Term_58574,performance efficiency scientific
Term_58575,performance electromagnetic
Term_58576,performance electromagnetic fields
Term_58577,performance emerging
Term_58578,performance emerging nanobiopharmaceuticals
Term_58579,performance empirical
Term_58580,performance empirical case
Term_58581,performance empirical study
Term_58582,performance equals
Term_58583,performance european
Term_58584,performance european union
Term_58585,performance evaluation
Term_58586,performance evaluation big
Term_58587,performance evaluation german
Term_58588,performance evaluation large
Term_58589,performance evaluation national
Term_58590,performance evaluation research
Term_58591,performance evaluation spanish
Term_58592,performance evaluations
Term_58593,performance evaluations terms
Term_58594,performance evidence
Term_58595,performance evidence curvilinear
Term_58596,performance example
Term_58597,performance example south
Term_58598,performance excellence
Term_58599,performance excellence measures
Term_58600,performance experimental
Term_58601,performance experimental study
Term_58602,performance exploring
Term_58603,performance exploring spanish
Term_58604,performance faculty
Term_58605,performance faculty natural
Term_58606,performance family
Term_58607,performance family therapy
Term_58608,performance feelings
Term_58609,performance feelings happiness
Term_58610,performance field
Term_58611,performance field bioinformatics
Term_58612,performance field refractory
Term_58613,performance food
Term_58614,performance food science
Term_58615,performance future
Term_58616,performance future prospects
Term_58617,performance future trends
Term_58618,performance geographical
Term_58619,performance geographical locations
Term_58620,performance german
Term_58621,performance german fisch
Term_58622,performance glass
Term_58623,performance glass researcher
Term_58624,performance government
Term_58625,performance government research
Term_58626,performance grant
Term_58627,performance grant income
Term_58628,performance greek
Term_58629,performance greek civil
Term_58630,performance greek medical
Term_58631,performance heterogeneous
Term_58632,performance heterogeneous academic
Term_58633,performance higher
Term_58634,performance higher education
Term_58635,performance humanities
Term_58636,performance impact
Term_58637,performance impact careers
Term_58638,performance impact single
Term_58639,performance index
Term_58640,performance index shape
Term_58641,performance indexes
Term_58642,performance indexes calculated
Term_58643,performance indicator
Term_58644,performance indicator academic
Term_58645,performance indicator application
Term_58646,performance indicator danish
Term_58647,performance indicator different
Term_58648,performance indicators
Term_58649,performance indicators academic
Term_58650,performance indicators based
Term_58651,performance indicators case
Term_58652,performance indicators university
Term_58653,performance indices
Term_58654,performance individual
Term_58655,performance individual level
Term_58656,performance individual scholars
Term_58657,performance inequality
Term_58658,performance inequality scientific
Term_58659,performance institute
Term_58660,performance institute molecular
Term_58661,performance institutional
Term_58662,performance institutional level
Term_58663,performance institutions
Term_58664,performance internal
Term_58665,performance internal university
Term_58666,performance international
Term_58667,performance international collaboration
Term_58668,performance invariant
Term_58669,performance invariant scientific
Term_58670,performance investments
Term_58671,performance investments international
Term_58672,performance key
Term_58673,performance key medical
Term_58674,performance key university
Term_58675,performance keyword
Term_58676,performance keyword advertising
Term_58677,performance knowledge
Term_58678,performance knowledge utilization
Term_58679,performance korea
Term_58680,performance korea bayesian
Term_58681,performance korean
Term_58682,performance korean universities
Term_58683,performance layered
Term_58684,performance layered unlayered
Term_58685,performance lead
Term_58686,performance lead shifts
Term_58687,performance life
Term_58688,performance life sciences
Term_58689,performance management
Term_58690,performance management 168
Term_58691,performance market
Term_58692,performance market value
Term_58693,performance matrix
Term_58694,performance matrix mathematical
Term_58695,performance measure
Term_58696,performance measure using
Term_58697,performance measurement
Term_58698,performance measurement belgian
Term_58699,performance measurement framework
Term_58700,performance measures
Term_58701,performance measures evaluating
Term_58702,performance measures government
Term_58703,performance measures relationships
Term_58704,performance measures social
Term_58705,performance measures socio
Term_58706,performance metrics
Term_58707,performance migration
Term_58708,performance migration sepsu
Term_58709,performance multi
Term_58710,performance multi level
Term_58711,performance multidisciplinary
Term_58712,performance multidisciplinary research
Term_58713,performance multivariate
Term_58714,performance multivariate study
Term_58715,performance nanotechnology
Term_58716,performance nanotechnology china
Term_58717,performance national
Term_58718,performance national innovation
Term_58719,performance nations
Term_58720,performance new
Term_58721,performance new metric
Term_58722,performance nordic
Term_58723,performance nordic cancer
Term_58724,performance ocean
Term_58725,performance ocean currents
Term_58726,performance open
Term_58727,performance open access
Term_58728,performance outlier
Term_58729,performance outlier evaluating
Term_58730,performance oxidative
Term_58731,performance oxidative stress
Term_58732,performance peripheral
Term_58733,performance peripheral country
Term_58734,performance pharmacology
Term_58735,performance pharmacology pharmacy
Term_58736,performance phd
Term_58737,performance phd graduates
Term_58738,performance prediction
Term_58739,performance prediction effective
Term_58740,performance prestige
Term_58741,performance prestige scientists
Term_58742,performance price
Term_58743,performance price theory
Term_58744,performance profiles
Term_58745,performance profiles departments
Term_58746,performance proposal
Term_58747,performance proposal comparing
Term_58748,performance psychiatric
Term_58749,performance psychiatric research
Term_58750,performance public
Term_58751,performance public institutes
Term_58752,performance public research
Term_58753,performance question
Term_58754,performance question information
Term_58755,performance rankings
Term_58756,performance rankings labor
Term_58757,performance rankings share
Term_58758,performance regional
Term_58759,performance regional differences
Term_58760,performance regions
Term_58761,performance regions time
Term_58762,performance related
Term_58763,performance related differences
Term_58764,performance relation
Term_58765,performance relation productivity
Term_58766,performance reply
Term_58767,performance reply braun
Term_58768,performance research
Term_58769,performance research achievement
Term_58770,performance research development
Term_58771,performance research groups
Term_58772,performance research projects
Term_58773,performance research units
Term_58774,performance researchers
Term_58775,performance researchers fields
Term_58776,performance respect
Term_58777,performance respect citation
Term_58778,performance results
Term_58779,performance results act
Term_58780,performance revisited
Term_58781,performance scholars
Term_58782,performance scholars correlation
Term_58783,performance sciences
Term_58784,performance sciences 1981
Term_58785,performance scientific
Term_58786,performance scientific institutions
Term_58787,performance scientists
Term_58788,performance scientists academic
Term_58789,performance scientists case
Term_58790,performance scientists distinguished
Term_58791,performance scientists position
Term_58792,performance selected
Term_58793,performance selected countries
Term_58794,performance social
Term_58795,performance social relevance
Term_58796,performance social sciences
Term_58797,performance spanish
Term_58798,performance spanish universities
Term_58799,performance sponsored
Term_58800,performance sponsored chinese
Term_58801,performance state
Term_58802,performance state supported
Term_58803,performance study
Term_58804,performance study comprising
Term_58805,performance technology
Term_58806,performance technology interactions
Term_58807,performance terms
Term_58808,performance terms numbers
Term_58809,performance text
Term_58810,performance text categorization
Term_58811,performance time
Term_58812,performance traditional
Term_58813,performance traditional chinese
Term_58814,performance turkish
Term_58815,performance turkish astronomers
Term_58816,performance universities
Term_58817,performance universities potential
Term_58818,performance university
Term_58819,performance university industry
Term_58820,performance university level
Term_58821,performance university systems
Term_58822,performance university toronto
Term_58823,performance use
Term_58824,performance use like
Term_58825,performance user
Term_58826,performance user attitude
Term_58827,performance using
Term_58828,performance using artificial
Term_58829,performance using science
Term_58830,performance using shape
Term_58831,performance variation
Term_58832,performance variation using
Term_58833,performance water
Term_58834,performance water research
Term_58835,performance web
Term_58836,performance web search
Term_58837,performance web searching
Term_58838,performances
Term_58839,performances case
Term_58840,performances case korea
Term_58841,performances individuals
Term_58842,performances public
Term_58843,performances public research
Term_58844,performances publication
Term_58845,performances publication output
Term_58846,performances research
Term_58847,performances research groups
Term_58848,performances sciences
Term_58849,performances sciences 1981
Term_58850,performances selected
Term_58851,performances selected social
Term_58852,performances world
Term_58853,performances world wide
Term_58854,performer
Term_58855,performer quality
Term_58856,performers
Term_58857,performers investigation
Term_58858,performers investigation italian
Term_58859,performers pilot
Term_58860,performers pilot study
Term_58861,performing
Term_58862,performing musicians
Term_58863,performing musicians collaborative
Term_58864,performing organisations
Term_58865,performing organisations general
Term_58866,performing regions
Term_58867,performing regions information
Term_58868,period
Term_58869,period 1900
Term_58870,period 1900 1973
Term_58871,period 1980
Term_58872,period 1980 2010
Term_58873,period 1981
Term_58874,period 1981 1992
Term_58875,period 1981 1995
Term_58876,period 1982
Term_58877,period 1982 1992
Term_58878,period 1989
Term_58879,period 1989 1992
Term_58880,period 1990
Term_58881,period 1990 1992
Term_58882,period 1990 1998
Term_58883,period 1991
Term_58884,period 1991 2003
Term_58885,period 1991 2005
Term_58886,period 1991 2007
Term_58887,period 1994
Term_58888,period 1994 2005
Term_58889,period 1995
Term_58890,period 1995 2014
Term_58891,period 1996
Term_58892,period 1996 2012
Term_58893,period 1997
Term_58894,period 1997 2014
Term_58895,period 2000
Term_58896,period 2000 2012
Term_58897,period 2006
Term_58898,period 2006 2010
Term_58899,period assess
Term_58900,period assess research
Term_58901,period results
Term_58902,period results questionnaire
Term_58903,periodic
Term_58904,periodic normal
Term_58905,periodic normal revolutionary
Term_58906,periodic table
Term_58907,periodic table guide
Term_58908,periodical
Term_58909,periodical average
Term_58910,periodical average publication
Term_58911,periodical literature
Term_58912,periodical literature information
Term_58913,periodical publications
Term_58914,periodical publications latin
Term_58915,periodical publishing
Term_58916,periodical publishing model
Term_58917,periodicals
Term_58918,periodicals conference
Term_58919,periodicals conference proceedings
Term_58920,periodicals field
Term_58921,periodicals field biochemistry
Term_58922,periodicals field microbiology
Term_58923,periodicals publication
Term_58924,periodicals publication delay
Term_58925,periodicals science
Term_58926,periodicals science citation
Term_58927,periodicals uk
Term_58928,periodontists
Term_58929,periodontists world
Term_58930,periodontists world literature
Term_58931,periods
Term_58932,periods germany
Term_58933,periods germany chemicals
Term_58934,periods using
Term_58935,periods using indscal
Term_58936,periods web
Term_58937,peripheral
Term_58938,peripheral asian
Term_58939,peripheral asian scientific
Term_58940,peripheral community
Term_58941,peripheral countries
Term_58942,peripheral countries comparison
Term_58943,peripheral countries taking
Term_58944,peripheral country
Term_58945,peripheral potentially
Term_58946,peripheral potentially innovative
Term_58947,peripheral social
Term_58948,peripheral social awareness
Term_58949,peripheral terrorism
Term_58950,peripheral terrorism literature
Term_58951,peripheries
Term_58952,peripheries rise
Term_58953,peripheries rise new
Term_58954,periphery
Term_58955,periphery citation
Term_58956,periphery citation study
Term_58957,periphery collaboration
Term_58958,periphery collaboration networks
Term_58959,periphery compare
Term_58960,periphery compare mainstream
Term_58961,periphery countries
Term_58962,periphery countries brazil
Term_58963,periphery effects
Term_58964,periphery effects citation
Term_58965,periphery model
Term_58966,periphery model explain
Term_58967,periphery new
Term_58968,periphery new clusters
Term_58969,periphery organic
Term_58970,periphery organic chemistry
Term_58971,periphery structure
Term_58972,periphery structure science
Term_58973,periphery structures
Term_58974,periphery structures national
Term_58975,periphery world
Term_58976,periphery world survey
Term_58977,perish
Term_58978,perish assessing
Term_58979,perish assessing citation
Term_58980,perish book
Term_58981,perish culture
Term_58982,perish culture worldwide
Term_58983,perish option
Term_58984,perish option compare
Term_58985,perish trend
Term_58986,perish trend single
Term_58987,perl
Term_58988,perl ml
Term_58989,permanence
Term_58990,permanence generalized
Term_58991,permanence generalized zipf
Term_58992,permeability
Term_58993,permeability perceptions
Term_58994,permeability perceptions disciplinarity
Term_58995,permutation
Term_58996,permutation automatic
Term_58997,permutation automatic indexing
Term_58998,pernet
Term_58999,perseus
Term_59000,perseus digital
Term_59001,perseus digital libraries
Term_59002,persistence
Term_59003,persistence behavior
Term_59004,persistence behavior form
Term_59005,persistence misinformation
Term_59006,persistence misinformation shared
Term_59007,persistence year
Term_59008,persistence year longitudinal
Term_59009,persistent
Term_59010,persistent knowledge
Term_59011,persistent knowledge accumulation
Term_59012,persistent nepotism
Term_59013,persistent nepotism peer
Term_59014,persistent research
Term_59015,persistent research themes
Term_59016,persisting
Term_59017,persisting phenomenon
Term_59018,person
Term_59019,person entity
Term_59020,person entity linking
Term_59021,personal
Term_59022,personal academic
Term_59023,personal academic information
Term_59024,personal agent
Term_59025,personal agent chinese
Term_59026,personal archiving
Term_59027,personal archiving preserving
Term_59028,personal based
Term_59029,personal based filtering
Term_59030,personal collections
Term_59031,personal collections digital
Term_59032,personal communication
Term_59033,personal communication networks
Term_59034,personal communication technologies
Term_59035,personal data
Term_59036,personal data emerging
Term_59037,personal distribution
Term_59038,personal distribution versus
Term_59039,personal document
Term_59040,personal document management
Term_59041,personal experience
Term_59042,personal experience lessons
Term_59043,personal file
Term_59044,personal file navigation
Term_59045,personal headings
Term_59046,personal headings cobib
Term_59047,personal health
Term_59048,personal health record
Term_59049,personal health records
Term_59050,personal history
Term_59051,personal homepages
Term_59052,personal information
Term_59053,personal information concerns
Term_59054,personal information despite
Term_59055,personal information management
Term_59056,personal insults
Term_59057,personal insults social
Term_59058,personal mail
Term_59059,personal mail use
Term_59060,personal matching
Term_59061,personal matching finite
Term_59062,personal names
Term_59063,personal privacy
Term_59064,personal privacy engaging
Term_59065,personal procedural
Term_59066,personal procedural conflicts
Term_59067,personal sense
Term_59068,personal sense annotation
Term_59069,personal social
Term_59070,personal social capital
Term_59071,personal web
Term_59072,personal web portfolios
Term_59073,personal website
Term_59074,personal website useful
Term_59075,personalities
Term_59076,personalities twitter
Term_59077,personality
Term_59078,personality information
Term_59079,personality information interaction
Term_59080,personality perceived
Term_59081,personality perceived ease
Term_59082,personality psychology
Term_59083,personality research
Term_59084,personality research creativity
Term_59085,personality technology
Term_59086,personality technology adoption
Term_59087,personalization
Term_59088,personalized
Term_59089,personalized electronic
Term_59090,personalized electronic program
Term_59091,personalized generation
Term_59092,personalized generation word
Term_59093,personalized group
Term_59094,personalized group based
Term_59095,personalized mobile
Term_59096,personalized mobile newspaper
Term_59097,personalized page
Term_59098,personalized page rank
Term_59099,personalized recommendation
Term_59100,personalized recommendation adaptive
Term_59101,personalized search
Term_59102,personalized search integrating
Term_59103,personalized semantic
Term_59104,personalized semantic index
Term_59105,personalized web
Term_59106,personalized web search
Term_59107,personalizing
Term_59108,personalizing information
Term_59109,personalizing information retrieval
Term_59110,personalizing news
Term_59111,personalizing news content
Term_59112,personnel
Term_59113,personnel costs
Term_59114,personnel costs scientific
Term_59115,personnel movement
Term_59116,personnel movement taking
Term_59117,personnel selection
Term_59118,personnel selection description
Term_59119,personnel usa
Term_59120,persons
Term_59121,persons identical
Term_59122,persons identical author
Term_59123,perspective
Term_59124,perspective bibliometric
Term_59125,perspective bibliometric analysis
Term_59126,perspective cocitation
Term_59127,perspective cocitation analysis
Term_59128,perspective comments
Term_59129,perspective context
Term_59130,perspective context based
Term_59131,perspective countries
Term_59132,perspective countries territories
Term_59133,perspective editorial
Term_59134,perspective editorial boards
Term_59135,perspective ethical
Term_59136,perspective ethical dimensions
Term_59137,perspective evaluative
Term_59138,perspective evaluative bibliometrics
Term_59139,perspective everyday
Term_59140,perspective everyday use
Term_59141,perspective explore
Term_59142,perspective explore technology
Term_59143,perspective extending
Term_59144,perspective extending repurposing
Term_59145,perspective government
Term_59146,perspective government issues
Term_59147,perspective indicators
Term_59148,perspective information
Term_59149,perspective information science
Term_59150,perspective iranian
Term_59151,perspective iranian women
Term_59152,perspective optimization
Term_59153,perspective optimization optimization
Term_59154,perspective organizational
Term_59155,perspective organizational learning
Term_59156,perspective paper
Term_59157,perspective paper patent
Term_59158,perspective patent
Term_59159,perspective patent analysis
Term_59160,perspective patent network
Term_59161,perspective political
Term_59162,perspective political economic
Term_59163,perspective priority
Term_59164,perspective priority provision
Term_59165,perspective science
Term_59166,perspective science latin
Term_59167,perspective technology
Term_59168,perspective technology adoption
Term_59169,perspective world
Term_59170,perspective world science
Term_59171,perspective years
Term_59172,perspective years 2006
Term_59173,perspectives
Term_59174,perspectives academic
Term_59175,perspectives academic journals
Term_59176,perspectives analysis
Term_59177,perspectives analysis chemical
Term_59178,perspectives collaboration
Term_59179,perspectives collaboration factors
Term_59180,perspectives dynamics
Term_59181,perspectives dynamics scientific
Term_59182,perspectives global
Term_59183,perspectives global information
Term_59184,perspectives image
Term_59185,perspectives image access
Term_59186,perspectives imaging
Term_59187,perspectives imaging information
Term_59188,perspectives internet
Term_59189,perspectives internet society
Term_59190,perspectives introduction
Term_59191,perspectives introduction overview
Term_59192,perspectives knowledge
Term_59193,perspectives knowledge management
Term_59194,perspectives large
Term_59195,perspectives large small
Term_59196,perspectives medical
Term_59197,perspectives medical innovation
Term_59198,perspectives nearby
Term_59199,perspectives nearby far
Term_59200,perspectives past
Term_59201,perspectives past future
Term_59202,perspectives photovoltaic
Term_59203,perspectives photovoltaic cells
Term_59204,perspectives policy
Term_59205,perspectives policy analysis
Term_59206,perspectives policy power
Term_59207,perspectives prospects
Term_59208,perspectives relevance
Term_59209,perspectives relevance criteria
Term_59210,perspectives social
Term_59211,perspectives social tagging
Term_59212,perspectives strategies
Term_59213,perspectives strategies overcome
Term_59214,perspectives trends
Term_59215,perspectives trends performance
Term_59216,perspectives webometrics
Term_59217,persson
Term_59218,persson sivertsen
Term_59219,persuasion
Term_59220,persuasion sokal
Term_59221,persuasion sokal hoax
Term_59222,persuasive
Term_59223,persuasive technology
Term_59224,persuasive technology using
Term_59225,persuasiveness
Term_59226,persuasiveness website
Term_59227,persuasiveness website privacy
Term_59228,pertaining
Term_59229,pertaining gas
Term_59230,pertaining gas hydrates
Term_59231,perutz
Term_59232,perutz mf
Term_59233,pervasive
Term_59234,pervasive digital
Term_59235,pervasive digital media
Term_59236,pervasive immersive
Term_59237,pervasive immersive new
Term_59238,pervasive ubiquitous
Term_59239,pervasive ubiquitous computing
Term_59240,perverse
Term_59241,perverse incentive
Term_59242,perverse incentive bibliometrics
Term_59243,perversion
Term_59244,perversion evidence
Term_59245,perversion evidence structural
Term_59246,pestre
Term_59247,peter
Term_59248,peter ingwersen
Term_59249,peter ingwersen recipient
Term_59250,peter john
Term_59251,peter john wyllie
Term_59252,peter luhn
Term_59253,peter luhn herbert
Term_59254,petroleum
Term_59255,petroleum chemistry
Term_59256,petroleum industry
Term_59257,petroleum industry correlation
Term_59258,petroleum research
Term_59259,petroleum research communities
Term_59260,pg
Term_59261,pg 121
Term_59262,pg 121 2000
Term_59263,pg 122
Term_59264,pg 122 2011
Term_59265,pg 1330
Term_59266,pg 1330 2013
Term_59267,pg 137
Term_59268,pg 137 2003
Term_59269,pg 1392
Term_59270,pg 1392 2007
Term_59271,pg 140
Term_59272,pg 140 2005
Term_59273,pg 1433
Term_59274,pg 1433 2008
Term_59275,pg 1637
Term_59276,pg 1637 2011
Term_59277,pg 1829
Term_59278,pg 1829 2008
Term_59279,pg 1841
Term_59280,pg 1841 2008
Term_59281,pg 1970
Term_59282,pg 1970 2010
Term_59283,pg 2012
Term_59284,pg 2182
Term_59285,pg 2182 2012
Term_59286,pg 228
Term_59287,pg 228 2000
Term_59288,pg 23
Term_59289,pg 23 1995
Term_59290,pg 2544
Term_59291,pg 2544 2010
Term_59292,pg 255
Term_59293,pg 255 1996
Term_59294,pg 307
Term_59295,pg 307 2009
Term_59296,pg 317
Term_59297,pg 317 1995
Term_59298,pg 323
Term_59299,pg 323 2012
Term_59300,pg 342
Term_59301,pg 342 2000
Term_59302,pg 345
Term_59303,pg 345 2000
Term_59304,pg 48
Term_59305,pg 48 2011
Term_59306,pg 577
Term_59307,pg 577 2008
Term_59308,pg 63
Term_59309,pg 63 2004
Term_59310,pg 640
Term_59311,pg 640 2010
Term_59312,pg 695
Term_59313,pg 695 2002
Term_59314,pg 737
Term_59315,pg 737 2013
Term_59316,pg 829
Term_59317,pg 829 2012
Term_59318,pg 96
Term_59319,pg 96 2006
Term_59320,pg 98
Term_59321,pg 98 2012
Term_59322,pharmaceutical
Term_59323,pharmaceutical abstracts
Term_59324,pharmaceutical abstracts database
Term_59325,pharmaceutical companies
Term_59326,pharmaceutical companies using
Term_59327,pharmaceutical industry
Term_59328,pharmaceutical industry 1965
Term_59329,pharmaceutical industry network
Term_59330,pharmaceutical industry new
Term_59331,pharmaceutical patents
Term_59332,pharmaceutical research
Term_59333,pharmaceutical research exploration
Term_59334,pharmaceutical research organizations
Term_59335,pharmaceuticals
Term_59336,pharmacological
Term_59337,pharmacological research
Term_59338,pharmacological research tropical
Term_59339,pharmacologists
Term_59340,pharmacologists sci
Term_59341,pharmacologists sci 1984
Term_59342,pharmacology
Term_59343,pharmacology journals
Term_59344,pharmacology pharmacy
Term_59345,pharmacology pharmacy china
Term_59346,pharmacology pharmacy isi
Term_59347,pharmacology pharmacy subfield
Term_59348,pharmacology psychiatry
Term_59349,pharmacology psychiatry journals
Term_59350,pharmacology sociology
Term_59351,pharmacology sociology linguistics
Term_59352,pharmacy
Term_59353,pharmacy china
Term_59354,pharmacy china relative
Term_59355,pharmacy classification
Term_59356,pharmacy classification analysis
Term_59357,pharmacy isi
Term_59358,pharmacy pharmacology
Term_59359,pharmacy subfield
Term_59360,pharmacy subfield isi
Term_59361,phase
Term_59362,phase mpeg
Term_59363,phased
Term_59364,phased impact
Term_59365,phased impact bcs
Term_59366,phases
Term_59367,phases growth
Term_59368,phases growth green
Term_59369,phd
Term_59370,phd biomedical
Term_59371,phd biomedical sciences
Term_59372,phd dissertations
Term_59373,phd dissertations universities
Term_59374,phd examination
Term_59375,phd examination international
Term_59376,phd examiners
Term_59377,phd examiners academic
Term_59378,phd graduates
Term_59379,phd graduates labor
Term_59380,phd male
Term_59381,phd male nurses
Term_59382,phd processes
Term_59383,phd processes 1991
Term_59384,phd programs
Term_59385,phd programs chile
Term_59386,phd showing
Term_59387,phd showing nurses
Term_59388,phd students
Term_59389,phd students advancement
Term_59390,phd theses
Term_59391,phd theses spain
Term_59392,phd theses turkish
Term_59393,phds
Term_59394,phds disciplines
Term_59395,phds disciplines specialties
Term_59396,phenomena
Term_59397,phenomena citations
Term_59398,phenomena citations comparative
Term_59399,phenomena data
Term_59400,phenomena data theory
Term_59401,phenomena growth
Term_59402,phenomena growth dynamics
Term_59403,phenomenological
Term_59404,phenomenological approach
Term_59405,phenomenological perspective
Term_59406,phenomenological studies
Term_59407,phenomenological studies scientometrics
Term_59408,phenomenon
Term_59409,phenomenon bradford
